ID,Age_Group,Gender,Employment,Income,Education,Cafe_Frequency,Reading_Frequency,Visit_Reason,Coffee_Preferences,Food_Preferences,Favorite_Genres,Avg_Spend_AED,Total_Spend_AED,Willing_Pay_Membership,Consider_Membership,Visit_Likelihood,Will_Recommend
165,45-54,Female,Full-time employed,"10,001 - 20,000",Bachelor's Degree,2-3 times per month,Occasional reader (1-2 times per week),Social meetings with friends/colleagues|Work/study in a different environment,"Cold Brew/Iced Coffee|Espresso-based (Cappuccino, Latte, Americano)|Hot Chocolate|Non-caffeinated beverages only","Light snacks (cookies, biscuits)|No food, just beverages|Salads",Children's/Young Adult|Fiction - Contemporary/Romance|Fiction - Science Fiction/Fantasy,28,50,0,Probably not,Probably will visit,Maybe
166,18-24,Female,Full-time employed,"20,001 - 35,000",Bachelor's Degree,Once a week,Non-reader,Coffee/beverages quality|Free WiFi,Filter/Drip Coffee|Hot Chocolate|Non-caffeinated beverages only,Breakfast items|Salads,Non-Fiction - Business/Self-Help|Non-Fiction - History/Politics,32,52,321,"Yes, depending on price",Might visit,Probably not
167,25-34,Male,Full-time employed,"35,001 - 50,000",High School or below,2-3 times per month,Occasional reader (1-2 times per week),Ambiance and interior design,Fresh Juices/Smoothies|Hot Chocolate|Non-caffeinated beverages only,"Breakfast items|No food, just beverages",Fiction - Science Fiction/Fantasy|Non-Fiction - Business/Self-Help,60,107,228,Maybe,Definitely will visit,Definitely yes
168,35-44,Female,Self-employed/Business owner,"10,001 - 20,000",Master's Degree,4-6 times per week,Daily reader (read every day),"Relaxation and ""me-time""","Cold Brew/Iced Coffee|Fresh Juices/Smoothies|Tea (Black, Green, Herbal)","Light snacks (cookies, biscuits)|Sandwiches/Wraps|Vegan/Healthy options",Comics/Graphic Novels|Non-Fiction - Biography/Memoir|Non-Fiction - Science/Technology,22,48,186,"Yes, definitely",Probably will visit,Maybe
169,25-34,Male,Full-time employed,"Above 75,000",Bachelor's Degree,2-3 times per week,Regular reader (3-5 times per week),Food quality,Cold Brew/Iced Coffee|Fresh Juices/Smoothies|Hot Chocolate|Non-caffeinated beverages only,Breakfast items|Sandwiches/Wraps|Vegan/Healthy options,Fiction - Mystery/Thriller|Non-Fiction - Biography/Memoir|Non-Fiction - History/Politics|Other,75,138,310,Maybe,Definitely will visit,Maybe
170,18-24,Prefer not to say,Student,"35,001 - 50,000",Bachelor's Degree,Once a week,Regular reader (3-5 times per week),Free WiFi|Work/study in a different environment,"Arabic/Turkish Coffee|Hot Chocolate|Non-caffeinated beverages only|Specialty Coffee (Flat White, Cortado, Macchiato)","Breakfast items|Light snacks (cookies, biscuits)|Pastries (croissants, muffins)|Sandwiches/Wraps",Children's/Young Adult|Fiction - Literary,49,101,206,Maybe,Definitely won't visit,Probably yes
171,55+,Female,Retired,"Less than 5,000",Bachelor's Degree,Rarely/Never,Regular reader (3-5 times per week),"Ambiance and interior design|Relaxation and ""me-time""",Arabic/Turkish Coffee|Fresh Juices/Smoothies,"No food, just beverages|Vegan/Healthy options",Children's/Young Adult|Fiction - Literary|Fiction - Mystery/Thriller,17,20,0,Probably not,Might visit,Probably not
172,35-44,Male,Unemployed,"Less than 5,000",Master's Degree,4-6 times per week,Occasional reader (1-2 times per week),Ambiance and interior design,"Arabic/Turkish Coffee|Espresso-based (Cappuccino, Latte, Americano)|Fresh Juices/Smoothies|Tea (Black, Green, Herbal)",Salads|Vegan/Healthy options,Fiction - Mystery/Thriller|Non-Fiction - History/Politics,13,20,0,Probably not,Probably will visit,Probably not
173,25-34,Male,Full-time employed,"50,001 - 75,000",Bachelor's Degree,4-6 times per week,Regular reader (3-5 times per week),Coffee/beverages quality|Free WiFi,"Arabic/Turkish Coffee|Specialty Coffee (Flat White, Cortado, Macchiato)",International cuisine options|Traditional Arabic sweets,Comics/Graphic Novels|Non-Fiction - Biography/Memoir|Non-Fiction - Science/Technology|Religious/Spiritual,50,109,263,Maybe,Definitely will visit,Maybe
174,45-54,Female,Full-time employed,"Above 75,000",Master's Degree,4-6 times per week,Occasional reader (1-2 times per week),Free WiFi|Work/study in a different environment,"Espresso-based (Cappuccino, Latte, Americano)|Flavored Coffee (Vanilla, Caramel, Hazelnut)","Light snacks (cookies, biscuits)|Vegan/Healthy options",Fiction - Science Fiction/Fantasy|Non-Fiction - Science/Technology|Other,102,250,0,Probably not,Probably will visit,Maybe
175,45-54,Female,Full-time employed,"20,001 - 35,000",High School or below,2-3 times per week,Rare reader (few times a year),Work/study in a different environment,"Arabic/Turkish Coffee|Fresh Juices/Smoothies|Non-caffeinated beverages only|Tea (Black, Green, Herbal)","No food, just beverages|Salads|Sandwiches/Wraps",Fiction - Contemporary/Romance|Non-Fiction - Science/Technology,44,74,309,"Yes, definitely",Probably will visit,Definitely yes
176,25-34,Male,Full-time employed,"20,001 - 35,000",Doctorate/PhD,Daily,Non-reader,Free WiFi,"Arabic/Turkish Coffee|Espresso-based (Cappuccino, Latte, Americano)|Fresh Juices/Smoothies|Hot Chocolate","Light snacks (cookies, biscuits)|Pastries (croissants, muffins)|Sandwiches/Wraps|Vegan/Healthy options",Other|Poetry,38,70,233,Maybe,Probably will visit,Maybe
177,18-24,Prefer not to say,Student,"50,001 - 75,000",High School or below,2-3 times per week,Non-reader,Ambiance and interior design|Free WiFi,"Cold Brew/Iced Coffee|Filter/Drip Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Hot Chocolate","No food, just beverages|Sandwiches/Wraps",Fiction - Mystery/Thriller,48,115,307,"Yes, depending on price",Probably will visit,Definitely yes
178,25-34,Female,Full-time employed,"50,001 - 75,000",Master's Degree,2-3 times per week,Regular reader (3-5 times per week),Business meetings|Food quality,Arabic/Turkish Coffee|Non-caffeinated beverages only,"Desserts (cakes, brownies)|International cuisine options|Light snacks (cookies, biscuits)|Vegan/Healthy options",Comics/Graphic Novels|Non-Fiction - Science/Technology|Other|Poetry,50,104,307,Maybe,Probably will visit,Probably not
179,25-34,Male,Full-time employed,"10,001 - 20,000",Bachelor's Degree,Once a week,Monthly reader (few times a month),Business meetings,"Cold Brew/Iced Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Tea (Black, Green, Herbal)","Breakfast items|International cuisine options|No food, just beverages|Pastries (croissants, muffins)",Other|Poetry,28,58,188,"Yes, definitely",Probably will visit,Definitely not
180,25-34,Male,Student,"20,001 - 35,000",High School or below,4-6 times per week,Occasional reader (1-2 times per week),Work/study in a different environment,"Non-caffeinated beverages only|Specialty Coffee (Flat White, Cortado, Macchiato)|Tea (Black, Green, Herbal)","Breakfast items|Desserts (cakes, brownies)|Traditional Arabic sweets|Vegan/Healthy options",Fiction - Literary|Non-Fiction - Biography/Memoir|Non-Fiction - History/Politics|Other,36,63,316,Maybe,Definitely will visit,Definitely yes
181,35-44,Female,Full-time employed,"35,001 - 50,000",Master's Degree,Once a week,Monthly reader (few times a month),"Ambiance and interior design|Relaxation and ""me-time""","Arabic/Turkish Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)","Pastries (croissants, muffins)|Salads|Traditional Arabic sweets",Fiction - Contemporary/Romance|Fiction - Science Fiction/Fantasy|Non-Fiction - Science/Technology,48,82,260,"Yes, definitely",Definitely will visit,Definitely yes
182,35-44,Female,Self-employed/Business owner,"50,001 - 75,000",Bachelor's Degree,4-6 times per week,Rare reader (few times a year),Business meetings,"Cold Brew/Iced Coffee|Specialty Coffee (Flat White, Cortado, Macchiato)","No food, just beverages|Pastries (croissants, muffins)|Salads|Vegan/Healthy options",Unknown,54,158,0,Probably not,Definitely won't visit,Probably not
183,55+,Female,Retired,"5,000 - 10,000",Diploma/Vocational Training,2-3 times per month,Daily reader (read every day),Social meetings with friends/colleagues|Work/study in a different environment,"Flavored Coffee (Vanilla, Caramel, Hazelnut)|Fresh Juices/Smoothies|Hot Chocolate|Tea (Black, Green, Herbal)","Light snacks (cookies, biscuits)|No food, just beverages|Pastries (croissants, muffins)|Vegan/Healthy options",Non-Fiction - Biography/Memoir|Non-Fiction - Business/Self-Help|Non-Fiction - History/Politics|Non-Fiction - Science/Technology,26,39,0,Probably not,Definitely will visit,Definitely yes
184,18-24,Female,Full-time employed,"Less than 5,000",Bachelor's Degree,2-3 times per month,Occasional reader (1-2 times per week),Coffee/beverages quality|Work/study in a different environment,"Fresh Juices/Smoothies|Specialty Coffee (Flat White, Cortado, Macchiato)","International cuisine options|No food, just beverages|Sandwiches/Wraps",Non-Fiction - History/Politics|Poetry,21,23,0,Probably not,Probably will visit,Maybe
185,25-34,Male,Unemployed,"5,000 - 10,000",Bachelor's Degree,2-3 times per month,Daily reader (read every day),"Relaxation and ""me-time""","Arabic/Turkish Coffee|Filter/Drip Coffee|Non-caffeinated beverages only|Tea (Black, Green, Herbal)","Light snacks (cookies, biscuits)|Salads|Traditional Arabic sweets",Children's/Young Adult|Fiction - Literary|Fiction - Science Fiction/Fantasy,29,47,0,Probably not,Definitely will visit,Maybe
186,25-34,Female,Full-time employed,"35,001 - 50,000",Bachelor's Degree,Once a week,Daily reader (read every day),"Relaxation and ""me-time""",Arabic/Turkish Coffee|Cold Brew/Iced Coffee|Filter/Drip Coffee,"Pastries (croissants, muffins)|Salads|Traditional Arabic sweets|Vegan/Healthy options",Fiction - Mystery/Thriller|Poetry|Religious/Spiritual,42,98,273,"Yes, depending on price",Might visit,Maybe
187,45-54,Prefer not to say,Part-time employed,"5,000 - 10,000",Diploma/Vocational Training,2-3 times per week,Rare reader (few times a year),Coffee/beverages quality,Arabic/Turkish Coffee|Cold Brew/Iced Coffee|Fresh Juices/Smoothies|Hot Chocolate,"Desserts (cakes, brownies)|No food, just beverages|Salads|Traditional Arabic sweets",Fiction - Literary|Poetry,22,44,0,Probably not,Probably will visit,Probably yes
188,25-34,Male,Full-time employed,"Above 75,000",Bachelor's Degree,Once a week,Monthly reader (few times a month),"Relaxation and ""me-time""","Cold Brew/Iced Coffee|Non-caffeinated beverages only|Tea (Black, Green, Herbal)","Light snacks (cookies, biscuits)|No food, just beverages",Comics/Graphic Novels|Fiction - Mystery/Thriller|Non-Fiction - Biography/Memoir|Poetry,76,188,368,Maybe,Definitely will visit,Definitely yes
189,25-34,Female,Part-time employed,"10,001 - 20,000",Master's Degree,2-3 times per month,Regular reader (3-5 times per week),Coffee/beverages quality|Social meetings with friends/colleagues,"Arabic/Turkish Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Non-caffeinated beverages only|Specialty Coffee (Flat White, Cortado, Macchiato)","Desserts (cakes, brownies)|No food, just beverages|Sandwiches/Wraps",Children's/Young Adult|Fiction - Mystery/Thriller|Other,24,45,0,Probably not,Probably will visit,Maybe
190,25-34,Male,Full-time employed,"20,001 - 35,000",Bachelor's Degree,Rarely/Never,Monthly reader (few times a month),Social meetings with friends/colleagues,"Arabic/Turkish Coffee|Filter/Drip Coffee|Specialty Coffee (Flat White, Cortado, Macchiato)|Tea (Black, Green, Herbal)",Breakfast items|Traditional Arabic sweets|Vegan/Healthy options,Non-Fiction - History/Politics|Poetry|Religious/Spiritual,50,96,0,Definitely not,Probably won't visit,Probably not
191,25-34,Female,Self-employed/Business owner,"10,001 - 20,000",Other,2-3 times per week,Occasional reader (1-2 times per week),Ambiance and interior design,"Cold Brew/Iced Coffee|Filter/Drip Coffee|Fresh Juices/Smoothies|Tea (Black, Green, Herbal)",Breakfast items|Traditional Arabic sweets,Fiction - Literary|Non-Fiction - Business/Self-Help|Non-Fiction - History/Politics,38,88,126,Maybe,Probably will visit,Probably yes
192,25-34,Female,Part-time employed,"50,001 - 75,000",Diploma/Vocational Training,2-3 times per week,Monthly reader (few times a month),Ambiance and interior design|Work/study in a different environment,"Espresso-based (Cappuccino, Latte, Americano)|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Hot Chocolate","Desserts (cakes, brownies)|International cuisine options|Pastries (croissants, muffins)|Traditional Arabic sweets",Fiction - Mystery/Thriller|Non-Fiction - Biography/Memoir|Non-Fiction - Business/Self-Help|Non-Fiction - Science/Technology|Other,69,175,0,Probably not,Definitely will visit,Maybe
193,25-34,Female,Full-time employed,"50,001 - 75,000",Master's Degree,Once a month,Regular reader (3-5 times per week),Ambiance and interior design|Coffee/beverages quality,"Arabic/Turkish Coffee|Espresso-based (Cappuccino, Latte, Americano)|Fresh Juices/Smoothies","Light snacks (cookies, biscuits)|No food, just beverages|Salads|Vegan/Healthy options",Comics/Graphic Novels|Non-Fiction - Business/Self-Help,56,168,0,Definitely not,Definitely will visit,Maybe
194,55+,Female,Self-employed/Business owner,"35,001 - 50,000",Doctorate/PhD,Rarely/Never,Occasional reader (1-2 times per week),"Relaxation and ""me-time""","Arabic/Turkish Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Hot Chocolate|Tea (Black, Green, Herbal)","International cuisine options|Light snacks (cookies, biscuits)|Salads",Comics/Graphic Novels|Fiction - Contemporary/Romance|Other|Religious/Spiritual,35,73,0,Definitely not,Might visit,Probably not
195,25-34,Male,Part-time employed,"5,000 - 10,000",Master's Degree,Once a week,Regular reader (3-5 times per week),Ambiance and interior design|Food quality,"Espresso-based (Cappuccino, Latte, Americano)|Non-caffeinated beverages only|Specialty Coffee (Flat White, Cortado, Macchiato)","Desserts (cakes, brownies)|No food, just beverages|Pastries (croissants, muffins)|Sandwiches/Wraps",Fiction - Mystery/Thriller|Other,27,33,189,"Yes, depending on price",Definitely won't visit,Probably yes
196,45-54,Female,Homemaker,"20,001 - 35,000",Master's Degree,Once a week,Occasional reader (1-2 times per week),Social meetings with friends/colleagues|Work/study in a different environment,Filter/Drip Coffee|Fresh Juices/Smoothies|Non-caffeinated beverages only,"Desserts (cakes, brownies)|International cuisine options|Sandwiches/Wraps|Traditional Arabic sweets",Children's/Young Adult|Fiction - Mystery/Thriller|Fiction - Science Fiction/Fantasy|Non-Fiction - History/Politics|Other,34,51,175,Maybe,Definitely will visit,Probably yes
197,35-44,Male,Full-time employed,"10,001 - 20,000",Bachelor's Degree,Once a week,Occasional reader (1-2 times per week),Ambiance and interior design|Free WiFi,Hot Chocolate|Non-caffeinated beverages only,"Breakfast items|Light snacks (cookies, biscuits)|No food, just beverages",Fiction - Contemporary/Romance|Fiction - Science Fiction/Fantasy|Non-Fiction - Biography/Memoir|Non-Fiction - Business/Self-Help|Other,31,51,130,"Yes, depending on price",Might visit,Probably yes
198,18-24,Female,Full-time employed,"35,001 - 50,000",Master's Degree,Once a week,Monthly reader (few times a month),Coffee/beverages quality,"Espresso-based (Cappuccino, Latte, Americano)|Specialty Coffee (Flat White, Cortado, Macchiato)",International cuisine options|Sandwiches/Wraps|Vegan/Healthy options,Comics/Graphic Novels|Fiction - Contemporary/Romance|Religious/Spiritual,37,69,0,Probably not,Definitely will visit,Definitely yes
199,55+,Female,Retired,Prefer not to say,Bachelor's Degree,Rarely/Never,Rare reader (few times a year),Free WiFi,"Arabic/Turkish Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Specialty Coffee (Flat White, Cortado, Macchiato)|Tea (Black, Green, Herbal)","International cuisine options|Light snacks (cookies, biscuits)|Pastries (croissants, muffins)|Vegan/Healthy options",Unknown,37,80,121,Maybe,Definitely will visit,Definitely yes
200,45-54,Female,Self-employed/Business owner,"Above 75,000",Bachelor's Degree,4-6 times per week,Daily reader (read every day),Ambiance and interior design,Arabic/Turkish Coffee|Filter/Drip Coffee,Sandwiches/Wraps|Traditional Arabic sweets,Children's/Young Adult|Fiction - Mystery/Thriller|Non-Fiction - Business/Self-Help,69,205,374,"Yes, depending on price",Might visit,Definitely yes
201,55+,Male,Self-employed/Business owner,"35,001 - 50,000",High School or below,Daily,Occasional reader (1-2 times per week),"Coffee/beverages quality|Relaxation and ""me-time""","Flavored Coffee (Vanilla, Caramel, Hazelnut)|Tea (Black, Green, Herbal)","Pastries (croissants, muffins)|Vegan/Healthy options",Children's/Young Adult|Fiction - Contemporary/Romance|Non-Fiction - Business/Self-Help|Poetry,38,54,241,"Yes, depending on price",Probably will visit,Maybe
202,55+,Male,Unemployed,"10,001 - 20,000",High School or below,2-3 times per month,Monthly reader (few times a month),Coffee/beverages quality,"Arabic/Turkish Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)","Desserts (cakes, brownies)|Pastries (croissants, muffins)",Children's/Young Adult|Fiction - Science Fiction/Fantasy,29,48,142,Maybe,Probably will visit,Definitely yes
203,45-54,Female,Full-time employed,"20,001 - 35,000",Bachelor's Degree,Once a week,Daily reader (read every day),Coffee/beverages quality|Social meetings with friends/colleagues,Arabic/Turkish Coffee|Filter/Drip Coffee|Fresh Juices/Smoothies,"Light snacks (cookies, biscuits)|Salads|Sandwiches/Wraps|Vegan/Healthy options",Fiction - Contemporary/Romance|Fiction - Mystery/Thriller|Non-Fiction - Science/Technology|Poetry|Religious/Spiritual,27,38,0,Definitely not,Probably will visit,Definitely yes
204,25-34,Prefer not to say,Full-time employed,"20,001 - 35,000",Bachelor's Degree,Once a week,Daily reader (read every day),Coffee/beverages quality|Social meetings with friends/colleagues,"Filter/Drip Coffee|Specialty Coffee (Flat White, Cortado, Macchiato)",International cuisine options|Sandwiches/Wraps|Vegan/Healthy options,Fiction - Literary|Non-Fiction - Business/Self-Help,27,46,0,Probably not,Probably will visit,Probably yes
205,25-34,Female,Full-time employed,"Less than 5,000",Doctorate/PhD,2-3 times per month,Daily reader (read every day),"Relaxation and ""me-time""","Arabic/Turkish Coffee|Cold Brew/Iced Coffee|Specialty Coffee (Flat White, Cortado, Macchiato)|Tea (Black, Green, Herbal)",Salads|Sandwiches/Wraps,Children's/Young Adult|Fiction - Contemporary/Romance|Fiction - Mystery/Thriller|Non-Fiction - History/Politics|Non-Fiction - Science/Technology,13,21,96,"Yes, depending on price",Probably will visit,Probably yes
206,25-34,Male,Full-time employed,"50,001 - 75,000",Bachelor's Degree,4-6 times per week,Daily reader (read every day),Business meetings|Free WiFi,Filter/Drip Coffee|Fresh Juices/Smoothies|Hot Chocolate,"Breakfast items|Pastries (croissants, muffins)|Salads|Vegan/Healthy options",Children's/Young Adult|Fiction - Contemporary/Romance|Fiction - Science Fiction/Fantasy|Non-Fiction - Biography/Memoir|Poetry,54,121,378,"Yes, depending on price",Definitely will visit,Definitely yes
207,25-34,Female,Full-time employed,"50,001 - 75,000",Master's Degree,2-3 times per week,Regular reader (3-5 times per week),"Coffee/beverages quality|Relaxation and ""me-time""","Hot Chocolate|Tea (Black, Green, Herbal)","Breakfast items|No food, just beverages|Salads",Comics/Graphic Novels|Non-Fiction - History/Politics|Other,70,203,310,Maybe,Probably will visit,Probably yes
208,18-24,Male,Student,"Less than 5,000",Master's Degree,Once a month,Occasional reader (1-2 times per week),Free WiFi,"Espresso-based (Cappuccino, Latte, Americano)|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Non-caffeinated beverages only","International cuisine options|No food, just beverages|Traditional Arabic sweets",Non-Fiction - Business/Self-Help|Other,15,22,0,Definitely not,Definitely will visit,Definitely yes
209,25-34,Female,Part-time employed,"Above 75,000",Bachelor's Degree,Once a month,Occasional reader (1-2 times per week),Food quality|Social meetings with friends/colleagues,"Filter/Drip Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)","Breakfast items|Pastries (croissants, muffins)|Traditional Arabic sweets",Children's/Young Adult|Non-Fiction - Biography/Memoir|Non-Fiction - History/Politics|Poetry,78,241,296,"Yes, definitely",Probably will visit,Probably yes
210,55+,Female,Retired,"35,001 - 50,000",Bachelor's Degree,Daily,Regular reader (3-5 times per week),Social meetings with friends/colleagues,"Arabic/Turkish Coffee|Espresso-based (Cappuccino, Latte, Americano)","Desserts (cakes, brownies)|Light snacks (cookies, biscuits)",Fiction - Contemporary/Romance|Fiction - Literary|Non-Fiction - Science/Technology|Other,39,68,162,"Yes, definitely",Definitely will visit,Probably yes
211,25-34,Male,Part-time employed,"10,001 - 20,000",Bachelor's Degree,Daily,Regular reader (3-5 times per week),"Relaxation and ""me-time""","Hot Chocolate|Tea (Black, Green, Herbal)",International cuisine options|Traditional Arabic sweets,Fiction - Science Fiction/Fantasy|Non-Fiction - History/Politics|Religious/Spiritual,30,58,171,"Yes, depending on price",Definitely will visit,Probably yes
212,45-54,Male,Homemaker,"Less than 5,000",Bachelor's Degree,2-3 times per month,Rare reader (few times a year),"Food quality|Relaxation and ""me-time""","Filter/Drip Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Fresh Juices/Smoothies|Hot Chocolate","International cuisine options|Light snacks (cookies, biscuits)|Vegan/Healthy options",Unknown,13,26,0,Definitely not,Might visit,Maybe
213,25-34,Male,Part-time employed,"5,000 - 10,000",Diploma/Vocational Training,2-3 times per week,Occasional reader (1-2 times per week),Social meetings with friends/colleagues,Cold Brew/Iced Coffee|Non-caffeinated beverages only,"Breakfast items|Desserts (cakes, brownies)|No food, just beverages|Vegan/Healthy options",Children's/Young Adult|Fiction - Literary|Non-Fiction - History/Politics|Poetry|Religious/Spiritual,20,26,0,Probably not,Definitely will visit,Definitely yes
214,25-34,Female,Full-time employed,"50,001 - 75,000",Bachelor's Degree,Once a week,Rare reader (few times a year),Coffee/beverages quality,"Arabic/Turkish Coffee|Espresso-based (Cappuccino, Latte, Americano)|Flavored Coffee (Vanilla, Caramel, Hazelnut)","Desserts (cakes, brownies)|Pastries (croissants, muffins)|Sandwiches/Wraps",Children's/Young Adult|Other,62,135,356,"Yes, depending on price",Definitely will visit,Definitely yes
215,55+,Female,Homemaker,"20,001 - 35,000",Master's Degree,2-3 times per month,Non-reader,Food quality|Social meetings with friends/colleagues,"Fresh Juices/Smoothies|Specialty Coffee (Flat White, Cortado, Macchiato)","Desserts (cakes, brownies)|Salads",Fiction - Contemporary/Romance|Other,37,60,0,Probably not,Probably won't visit,Definitely not
216,55+,Male,Homemaker,Prefer not to say,High School or below,Rarely/Never,Non-reader,Work/study in a different environment,"Arabic/Turkish Coffee|Filter/Drip Coffee|Fresh Juices/Smoothies|Tea (Black, Green, Herbal)","No food, just beverages|Salads|Sandwiches/Wraps",Unknown,35,56,0,Probably not,Probably won't visit,Probably not
217,35-44,Female,Self-employed/Business owner,"50,001 - 75,000",Diploma/Vocational Training,2-3 times per week,Rare reader (few times a year),Coffee/beverages quality|Social meetings with friends/colleagues,Arabic/Turkish Coffee|Fresh Juices/Smoothies,"Breakfast items|Desserts (cakes, brownies)|Light snacks (cookies, biscuits)|Salads",Comics/Graphic Novels|Religious/Spiritual,56,152,406,"Yes, definitely",Might visit,Maybe
218,35-44,Male,Full-time employed,"35,001 - 50,000",Master's Degree,2-3 times per week,Regular reader (3-5 times per week),Free WiFi|Work/study in a different environment,"Arabic/Turkish Coffee|Espresso-based (Cappuccino, Latte, Americano)|Tea (Black, Green, Herbal)","Desserts (cakes, brownies)|Vegan/Healthy options",Comics/Graphic Novels|Fiction - Literary|Non-Fiction - Biography/Memoir|Non-Fiction - Science/Technology|Other,47,70,295,"Yes, depending on price",Might visit,Probably yes
219,25-34,Female,Full-time employed,"20,001 - 35,000",Master's Degree,Once a week,Occasional reader (1-2 times per week),"Relaxation and ""me-time""","Flavored Coffee (Vanilla, Caramel, Hazelnut)|Fresh Juices/Smoothies|Hot Chocolate|Tea (Black, Green, Herbal)","Desserts (cakes, brownies)|Light snacks (cookies, biscuits)|Traditional Arabic sweets|Vegan/Healthy options",Children's/Young Adult|Fiction - Literary|Fiction - Science Fiction/Fantasy|Non-Fiction - History/Politics|Other,50,101,285,Maybe,Probably will visit,Definitely yes
220,25-34,Female,Student,"5,000 - 10,000",Master's Degree,2-3 times per month,Daily reader (read every day),Ambiance and interior design|Work/study in a different environment,"Cold Brew/Iced Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Non-caffeinated beverages only",Salads|Traditional Arabic sweets|Vegan/Healthy options,Children's/Young Adult|Fiction - Contemporary/Romance|Non-Fiction - Biography/Memoir,18,26,136,Maybe,Definitely will visit,Probably yes
221,55+,Female,Unemployed,"Less than 5,000",Doctorate/PhD,Daily,Rare reader (few times a year),Social meetings with friends/colleagues,Arabic/Turkish Coffee|Hot Chocolate,"Breakfast items|Desserts (cakes, brownies)|Light snacks (cookies, biscuits)|Sandwiches/Wraps",Unknown,25,37,0,Definitely not,Probably won't visit,Definitely not
222,35-44,Male,Full-time employed,"35,001 - 50,000",Other,4-6 times per week,Daily reader (read every day),Work/study in a different environment,"Arabic/Turkish Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Hot Chocolate|Non-caffeinated beverages only",International cuisine options|Vegan/Healthy options,Comics/Graphic Novels|Non-Fiction - Biography/Memoir|Non-Fiction - Business/Self-Help|Non-Fiction - Science/Technology|Religious/Spiritual,36,64,227,"Yes, definitely",Probably will visit,Definitely yes
223,35-44,Female,Full-time employed,"50,001 - 75,000",Bachelor's Degree,4-6 times per week,Regular reader (3-5 times per week),Social meetings with friends/colleagues,"Arabic/Turkish Coffee|Fresh Juices/Smoothies|Non-caffeinated beverages only|Tea (Black, Green, Herbal)","No food, just beverages|Salads",Fiction - Literary|Non-Fiction - Biography/Memoir|Non-Fiction - Business/Self-Help|Non-Fiction - Science/Technology,41,102,343,"Yes, depending on price",Probably will visit,Probably yes
224,35-44,Female,Full-time employed,"Above 75,000",Bachelor's Degree,Once a week,Occasional reader (1-2 times per week),Free WiFi|Location convenience,"Cold Brew/Iced Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Fresh Juices/Smoothies|Non-caffeinated beverages only",Sandwiches/Wraps|Vegan/Healthy options,Fiction - Mystery/Thriller|Fiction - Science Fiction/Fantasy|Other|Poetry|Religious/Spiritual,68,189,410,"Yes, definitely",Definitely will visit,Maybe
225,18-24,Prefer not to say,Student,"5,000 - 10,000",Diploma/Vocational Training,Once a week,Rare reader (few times a year),Coffee/beverages quality,"Filter/Drip Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)","Desserts (cakes, brownies)|Salads",Non-Fiction - Biography/Memoir|Non-Fiction - History/Politics,23,30,139,Maybe,Might visit,Maybe
226,35-44,Female,Full-time employed,"10,001 - 20,000",High School or below,2-3 times per month,Occasional reader (1-2 times per week),Work/study in a different environment,"Arabic/Turkish Coffee|Tea (Black, Green, Herbal)","Breakfast items|Light snacks (cookies, biscuits)|Salads",Comics/Graphic Novels|Fiction - Contemporary/Romance|Non-Fiction - Biography/Memoir,40,78,181,"Yes, definitely",Definitely won't visit,Probably not
227,35-44,Male,Homemaker,"20,001 - 35,000",High School or below,2-3 times per week,Regular reader (3-5 times per week),Ambiance and interior design|Coffee/beverages quality,"Cold Brew/Iced Coffee|Espresso-based (Cappuccino, Latte, Americano)",Breakfast items|Sandwiches/Wraps,Comics/Graphic Novels|Fiction - Contemporary/Romance|Non-Fiction - Business/Self-Help,29,62,324,"Yes, depending on price",Definitely will visit,Definitely yes
228,45-54,Female,Unemployed,"10,001 - 20,000",Master's Degree,Daily,Daily reader (read every day),"Relaxation and ""me-time""","Cold Brew/Iced Coffee|Espresso-based (Cappuccino, Latte, Americano)","Light snacks (cookies, biscuits)|Pastries (croissants, muffins)",Children's/Young Adult|Fiction - Mystery/Thriller|Non-Fiction - History/Politics|Non-Fiction - Science/Technology|Religious/Spiritual,31,47,100,"Yes, depending on price",Definitely will visit,Maybe
229,25-34,Female,Homemaker,"50,001 - 75,000",Bachelor's Degree,2-3 times per week,Occasional reader (1-2 times per week),Coffee/beverages quality|Social meetings with friends/colleagues,"Arabic/Turkish Coffee|Fresh Juices/Smoothies|Specialty Coffee (Flat White, Cortado, Macchiato)","Breakfast items|No food, just beverages|Sandwiches/Wraps|Traditional Arabic sweets",Comics/Graphic Novels|Non-Fiction - Biography/Memoir|Non-Fiction - Science/Technology,44,151,0,Probably not,Definitely will visit,Definitely yes
